"Participant","Chart","AOI[Title]Hit_Total_Duration","AOI[Title]Hit_Fixation_Count","AOI[Title]Hit_Average","AOI[Main Data]Hit_Total_Duration","AOI[Main Data]Hit_Fixation_Count","AOI[Main Data]Hit_Average","AOI[Rectangle 4]Hit_Total_Duration","AOI[Rectangle 4]Hit_Fixation_Count","AOI[Rectangle 4]Hit_Average","AOI[Y axis]Hit_Total_Duration","AOI[Y axis]Hit_Fixation_Count","AOI[Y axis]Hit_Average","AOI[X axis]Hit_Total_Duration","AOI[X axis]Hit_Fixation_Count","AOI[X axis]Hit_Average"
"p6","Chart 1.JPG",985,9,109.444444444444,8674,60,144.566666666667,2665,18,148.055555555556,2074,15,138.266666666667,2857,20,142.85
"p7","Chart 1.JPG",3441,24,143.375,10941,76,143.960526315789,8914,50,178.28,2512,18,139.555555555556,8511,51,166.882352941176
"p8","Chart 1.JPG",6777,39,173.769230769231,14521,87,166.908045977011,13269,59,224.898305084746,6132,43,142.604651162791,8526,42,203
"p9","Chart 1.JPG",1159,8,144.875,19958,116,172.051724137931,5593,38,147.184210526316,5860,34,172.352941176471,2724,16,170.25
"p10","Chart 1.JPG",6007,33,182.030303030303,17731,82,216.231707317073,16931,67,252.701492537313,7620,42,181.428571428571,17162,77,222.883116883117
"p11","Chart 1.JPG",3384,22,153.818181818182,51197,282,181.549645390071,10811,66,163.80303030303,5566,36,154.611111111111,9739,58,167.913793103448
"p12","Chart 1.JPG",492,4,123,19292,142,135.859154929577,4559,38,119.973684210526,3209,23,139.521739130435,4208,27,155.851851851852
"p13","Chart 1.JPG",3684,26,141.692307692308,16344,113,144.637168141593,15679,83,188.903614457831,4108,27,152.148148148148,15203,86,176.779069767442
"p14","Chart 1.JPG",9500,51,186.274509803922,25063,160,156.64375,22622,109,207.54128440367,9372,61,153.639344262295,7702,46,167.434782608696
"p15","Chart 1.JPG",4510,34,132.647058823529,7280,44,165.454545454545,7527,46,163.630434782609,4000,30,133.333333333333,10627,74,143.608108108108
"p16","Chart 1.JPG",2701,19,142.157894736842,19041,118,161.364406779661,4867,35,139.057142857143,2359,16,147.4375,7854,64,122.71875
"p17","Chart 1.JPG",1033,9,114.777777777778,2567,19,135.105263157895,4130,29,142.413793103448,1333,11,121.181818181818,2026,17,119.176470588235
"p18","Chart 1.JPG",1134,10,113.4,7351,55,133.654545454545,5492,36,152.555555555556,1025,8,128.125,6856,44,155.818181818182
"p19","Chart 1.JPG",6716,43,156.186046511628,9334,68,137.264705882353,5526,38,145.421052631579,5693,41,138.853658536585,14020,88,159.318181818182
"p20","Chart 1.JPG",3226,27,119.481481481481,7676,57,134.666666666667,4958,38,130.473684210526,1350,10,135,8105,57,142.19298245614
"p21","Chart 1.JPG",5841,33,177,14031,93,150.870967741935,23856,101,236.19801980198,12372,73,169.479452054795,9574,59,162.271186440678
"p22","Chart 1.JPG",642,3,214,12226,95,128.694736842105,3885,35,111,1040,10,104,7092,52,136.384615384615
"p23","Chart 1.JPG",5992,40,149.8,11548,75,153.973333333333,8856,53,167.094339622642,5291,41,129.048780487805,19627,123,159.569105691057
"p24","Chart 1.JPG",8093,52,155.634615384615,15783,102,154.735294117647,8650,47,184.042553191489,4901,36,136.138888888889,12249,75,163.32
"p26","Chart 1.JPG",1784,11,162.181818181818,1768,13,136,2175,16,135.9375,2416,18,134.222222222222,4957,32,154.90625
"p27","Chart 1.JPG",1008,7,144,8969,61,147.032786885246,2042,12,170.166666666667,2766,23,120.260869565217,1509,11,137.181818181818
"p29","Chart 1.JPG",475,3,158.333333333333,18443,148,124.614864864865,8170,65,125.692307692308,10135,65,155.923076923077,10723,80,134.0375
"p30","Chart 1.JPG",12359,70,176.557142857143,9573,67,142.880597014925,7391,46,160.673913043478,4458,30,148.6,5519,38,145.236842105263
"p31","Chart 1.JPG",5975,42,142.261904761905,9508,67,141.910447761194,4669,31,150.612903225806,3019,23,131.260869565217,2785,17,163.823529411765
"p32","Chart 1.JPG",9075,59,153.813559322034,56323,382,147.442408376963,12338,73,169.013698630137,4502,30,150.066666666667,11748,76,154.578947368421
"p33","Chart 1.JPG",2115,18,117.5,2368,19,124.631578947368,1786,13,137.384615384615,1467,11,133.363636363636,2366,20,118.3
"p34","Chart 1.JPG",2592,20,129.6,2424,23,105.391304347826,4986,38,131.210526315789,3401,20,170.05,3402,24,141.75
"p35","Chart 1.JPG",2449,21,116.619047619048,3825,32,119.53125,5023,39,128.794871794872,6999,51,137.235294117647,12690,79,160.632911392405
"p36","Chart 1.JPG",2075,12,172.916666666667,17039,76,224.197368421053,9640,55,175.272727272727,5500,31,177.41935483871,15992,70,228.457142857143
"p37","Chart 1.JPG",2323,18,129.055555555556,4275,33,129.545454545455,2765,15,184.333333333333,1643,13,126.384615384615,5009,33,151.787878787879
"p38","Chart 1.JPG",973,9,108.111111111111,30404,190,160.021052631579,10922,66,165.484848484848,9242,51,181.21568627451,2491,12,207.583333333333
"p39","Chart 1.JPG",200,2,100,6374,50,127.48,2409,21,114.714285714286,225,2,112.5,3992,27,147.851851851852
"P40","Chart 1.JPG",2442,19,128.526315789474,6418,45,142.622222222222,5160,34,151.764705882353,1834,14,131,7218,54,133.666666666667
"p41","Chart 1.JPG",3487,24,145.291666666667,27968,173,161.664739884393,4148,27,153.62962962963,7767,48,161.8125,308,2,154
"p42","Chart 1.JPG",5769,46,125.413043478261,13749,77,178.558441558442,13771,62,222.112903225806,5042,34,148.294117647059,18165,92,197.445652173913
"p43","Chart 1.JPG",3310,22,150.454545454545,26487,72,367.875,9197,46,199.934782608696,2625,12,218.75,9308,35,265.942857142857
"p44","Chart 1.JPG",6767,32,211.46875,15322,80,191.525,7734,35,220.971428571429,3085,19,162.368421052632,6515,36,180.972222222222
"p45","Chart 1.JPG",3835,26,147.5,21009,138,152.239130434783,5769,41,140.707317073171,5881,43,136.767441860465,11797,73,161.602739726027
"p46","Chart 1.JPG",10557,44,239.931818181818,6652,42,158.380952380952,5349,24,222.875,7318,42,174.238095238095,18268,104,175.653846153846
"p47","Chart 1.JPG",NA,NA,NA,10532,64,164.5625,4082,26,157,1593,13,122.538461538462,6098,37,164.810810810811
"p48","Chart 1.JPG",425,5,85,11557,81,142.679012345679,5341,38,140.552631578947,5259,32,164.34375,11646,76,153.236842105263
"p49","Chart 1.JPG",275,3,91.6666666666667,775,5,155,467,3,155.666666666667,75,1,75,83,1,83
