"Participant","Chart1_First_AOI","Chart2_First_AOI","Chart3_First_AOI","Chart4_First_AOI","Chart1_First_AOI_GazeEventDuration","Chart2_First_AOI_GazeEventDuration","Chart3_First_AOI_GazeEventDuration","Chart4_First_AOI_GazeEventDuration"
"p6","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Asian Math Data]Hit","AOI[Main Chart]Hit.1",183,100,67,75
"p7","AOI[Main Data]Hit","AOI[X axis]Hit_2","AOI[Asian Reading Data]Hit","AOI[Main Chart]Hit.1",242,150,217,175
"p8","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Main Chart]Hit.1",167,125,183,150
"p9","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Main Chart]Hit.1",167,125,217,75
"p10","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Asian Math Data]Hit","AOI[Key]Hit",133,158,100,100
"p11","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Title]Hit_4",125,217,175,100
"p12","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Main Chart]Hit.1",234,100,125,208
"p13","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Asian Reading Data]Hit","AOI[Main Chart]Hit.1",167,183,133,142
"p14","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Main Chart]Hit.1",117,267,192,317
"p15","AOI[Rectangle 4]Hit","AOI[Main chart]Hit","AOI[Title]Hit_3","AOI[Main Chart]Hit.1",108,108,83,133
"p16","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Asian Reading Data]Hit","AOI[Main Chart]Hit.1",475,75,200,67
"p17","AOI[X axis]Hit","AOI[Main chart]Hit","AOI[AI and AN Reading Data]Hit","AOI[Main Chart]Hit.1",150,83,75,117
"p18","AOI[Rectangle 4]Hit","AOI[Main chart]Hit","AOI[Asian Reading Data]Hit","AOI[Main Chart]Hit.1",742,225,92,175
"p19","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Main Chart]Hit.1",192,242,133,83
"p20","AOI[Rectangle 4]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Main Chart]Hit.1",183,175,117,83
"p21","AOI[Rectangle 4]Hit","AOI[Main chart]Hit","AOI[Asian Reading Data]Hit","AOI[Main Chart]Hit.1",275,258,208,158
"p22","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Asian Reading Data]Hit","AOI[Main Chart]Hit.1",83,158,108,83
"p23","AOI[Rectangle 4]Hit","AOI[Main chart]Hit","AOI[AI and AN Reading Data]Hit","AOI[Main Chart]Hit.1",350,83,92,167
"p24","AOI[Title]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Key]Hit",158,83,100,158
"p26","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Asian Reading Data]Hit","AOI[Main Chart]Hit.1",158,192,125,133
"p27","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Asian Reading Data]Hit","AOI[Main Chart]Hit.1",167,92,83,92
"p29","AOI[X axis]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Main Chart]Hit.1",142,133,83,175
"p30","AOI[Main Data]Hit","AOI[Title]Hit_1","AOI[Black Reading Data]Hit","AOI[Main Chart]Hit.1",92,142,142,100
"p31","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Title]Hit_4",100,133,133,92
"p32","AOI[Rectangle 4]Hit","AOI[Main chart]Hit","AOI[Title]Hit_3","AOI[Main Chart]Hit.1",167,125,83,100
"p33","AOI[Main Data]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Key]Hit",142,83,208,208
"p34","AOI[Rectangle 4]Hit","AOI[Main chart]Hit","AOI[Black Reading Data]Hit","AOI[Main Chart]Hit.1",67,208,83,83
