"Participant","Chart1_Total_Duration","Chart1_Fixation_Count","Chart2_Total_Duration","Chart2_Fixation_Count","Chart3_Total_Duration","Chart3_Fixation_Count","Chart4_Total_Duration","Chart4_Fixation_Count"
"p6",17255,122,45067,314,41285,291,69070,459
"p7",34319,219,135369,782,58273,408,39955,277
"p8",49225,270,65162,376,58384,334,52681,292
"p9",35294,212,51584,301,32879,202,28663,177
"p10",65451,301,141758,515,52611,281,47909,276
"p11",80697,464,152018,938,137792,867,105026,676
"p12",31760,234,84690,527,68163,468,67497,483
"p13",55018,335,101126,634,100432,623,93862,485
"p14",74259,427,87843,473,108942,577,96704,542
"p15",33944,228,52774,396,60757,441,122252,776
"p16",36822,252,30549,198,20168,157,49358,335
"p17",11089,85,26311,201,36182,239,43790,332
"p18",21858,153,36315,259,22709,162,33575,226
"p19",41289,278,99792,588,8644,66,82266,485
"p20",25315,189,67515,503,37850,295,53546,380
"p21",73299,405,37311,206,51814,280,66740,389
"p22",24885,195,25529,187,30952,236,32950,268
"p23",51314,332,143649,854,116807,667,137135,805
"p24",49676,312,65053,481,30923,199,36214,221
"p26",13100,90,31663,217,29367,219,33850,262
"p27",16294,114,6752,50,7623,62,23794,181
"p29",47946,361,59488,414,64452,397,17649,106
"p30",39300,251,60162,354,106810,613,147609,890
"p31",25956,180,96378,593,21490,137,94222,582
"p32",93986,620,85092,523,103327,631,48901,310
"p33",10102,81,28390,221,12379,82,4450,40
"p34",16805,125,26741,163,28304,182,29015,186
"p35",30986,222,55060,390,15854,121,57023,425
"p36",50246,244,125527,622,111809,569,128650,634
"p37",16015,112,99106,592,78394,434,82042,464
"p38",54032,328,14487,103,16129,122,22992,164
"p39",13200,102,49951,346,7040,47,39706,264
"P40",23072,166,36428,273,32201,205,59310,397
"p41",43678,274,65796,444,31206,222,29796,194
"p42",56496,311,41693,254,58074,332,57290,330
"p43",50927,187,114555,444,63620,307,49252,256
"p44",39423,202,58988,370,65196,439,103983,653
"p45",48291,321,76807,474,51310,319,90210,494
"p46",48144,256,125041,609,75060,410,107722,521
"p47",22305,140,58939,374,92458,561,93873,594
"p48",34228,232,119309,760,70849,409,119669,767
"p49",1675,13,26746,175,53974,352,37754,259
