"Participant","Chart1_Task_Time","Chart2_Task_Time","Chart3_Task_Time","Chart4_Task_Time"
"p6",128489,273495,219808,372267
"p7",265714,464135,522488,392727
"p8",205337,187095,286641,212558
"p9",210540,258944,170511,228793
"p10",211244,273378,252082,186417
"p11",309424,495888,464374,371261
"p12",393668,484532,516723,473904
"p13",250591,425926,416226,294029
"p14",310939,243918,391138,364049
"p15",254574,323798,361904,509715
"p16",498834,221829,300171,363635
"p17",118102,142064,302621,361896
"p18",159103,250216,191001,199202
"p19",219125,493263,69072,374223
"p20",189157,253963,197744,193666
"p21",25013,-130420,13749,175556
"p22",276652,161537,226559,252562
"p23",338178,484130,438759,484337
"p24",622540,706932,371507,319994
"p26",161889,146330,297143,236925
"p27",224573,204726,257242,331442
"p29",441114,468145,263814,106313
"p30",440966,559549,490058,632114
"p31",273863,410615,351284,654471
"p32",570487,268106,441392,249709
"p33",180716,179013,61637,58797
"p34",159747,97382,148456,164679
"p35",229874,218302,155028,232401
"p36",188632,315659,468191,414888
"p37",195414,404805,268019,284223
"p38",452377,369020,432669,189776
"p39",208740,262005,272597,369339
"P40",229725,334104,407779,439711
"p41",197550,239235,226258,241201
"p42",223611,257517,293967,272588
"p43",182099,220843,196739,117507
"p44",146144,229331,315896,332878
"p45",274123,317615,257694,192400
"p46",404711,499684,316095,508227
"p47",278799,397474,555710,641597
"p48",440982,564312,616798,568975
"p49",6803,285310,385638,332431
