"ChartName","AOI_Character","GazeEventDuration"
"Chart 1.JPG","m",117
"Chart 1.JPG","n",125
"Chart 1.JPG","n",283
"Chart 1.JPG","m",100
"Chart 1.JPG","m",67
"Chart 1.JPG","n",183
"Chart 1.JPG","n",192
"Chart 1.JPG","o",100
"Chart 1.JPG","m",125
"Chart 1.JPG","m",183
"Chart 1.JPG","o",150
"Chart 1.JPG","o",150
"Chart 1.JPG","o",250
"Chart 1.JPG","o",125
"Chart 1.JPG","o",150
"Chart 1.JPG","o",75
"Chart 1.JPG","n",133
"Chart 1.JPG","n",158
"Chart 1.JPG","n",117
"Chart 1.JPG","n",400
"Chart 1.JPG","n",100
"Chart 1.JPG","n",142
"Chart 1.JPG","n",167
"Chart 1.JPG","n",125
"Chart 1.JPG","n",183
"Chart 1.JPG","n",392
"Chart 1.JPG","n",242
"Chart 1.JPG","n",192
"Chart 1.JPG","n",150
"Chart 1.JPG","m",67
"Chart 1.JPG","n",142
"Chart 1.JPG","n",258
"Chart 1.JPG","n",217
"Chart 1.JPG","n",225
"Chart 1.JPG","m",67
"Chart 1.JPG","m",167
"Chart 1.JPG","m",183
"Chart 1.JPG","m",342
"Chart 1.JPG","m",125
"Chart 1.JPG","m",192
"Chart 1.JPG","m",208
"Chart 1.JPG","m",92
"Chart 1.JPG","m",83
"Chart 1.JPG","m",192
"Chart 1.JPG","n",300
"Chart 1.JPG","m",142
"Chart 1.JPG","m",133
"Chart 1.JPG","m",133
"Chart 1.JPG","m",225
"Chart 1.JPG","m",183
"Chart 1.JPG","n",183
"Chart 1.JPG","n",158
"Chart 1.JPG","m",117
"Chart 1.JPG","n",242
"Chart 1.JPG","m",175
"Chart 1.JPG","m",67
"Chart 1.JPG","m",183
"Chart 1.JPG","m",283
"Chart 1.JPG","m",92
"Chart 1.JPG","E",117
"Chart 1.JPG","m",125
"Chart 1.JPG","o",417
"Chart 1.JPG","G",125
"Chart 1.JPG","G",142
"Chart 1.JPG","G",83
"Chart 1.JPG","G",67
"Chart 1.JPG","m",92
"Chart 1.JPG","n",233
"Chart 1.JPG","n",125
"Chart 1.JPG","n",342
"Chart 1.JPG","m",267
"Chart 1.JPG","m",167
"Chart 1.JPG","m",167
"Chart 1.JPG","n",133
"Chart 1.JPG","m",217
"Chart 1.JPG","m",150
"Chart 1.JPG","m",150
"Chart 1.JPG","m",158
"Chart 1.JPG","n",192
"Chart 1.JPG","n",275
"Chart 1.JPG","n",275
"Chart 1.JPG","m",167
"Chart 1.JPG","G",125
"Chart 1.JPG","m",200
"Chart 1.JPG","E",92
"Chart 1.JPG","n",242
"Chart 1.JPG","n",133
"Chart 1.JPG","E",67
"Chart 1.JPG","E",258
"Chart 1.JPG","E",300
"Chart 1.JPG","m",300
"Chart 1.JPG","E",133
"Chart 1.JPG","E",75
"Chart 1.JPG","E",158
"Chart 1.JPG","m",150
"Chart 1.JPG","m",92
"Chart 1.JPG","E",158
"Chart 1.JPG","E",250
"Chart 1.JPG","E",258
"Chart 1.JPG","E",267
"Chart 1.JPG","E",250
"Chart 1.JPG","E",150
"Chart 1.JPG","E",83
"Chart 1.JPG","n",108
"Chart 1.JPG","n",108
"Chart 1.JPG","n",192
"Chart 1.JPG","n",83
"Chart 1.JPG","m",292
"Chart 1.JPG","m",108
"Chart 1.JPG","E",208
"Chart 1.JPG","E",217
"Chart 1.JPG","E",100
"Chart 1.JPG","n",233
"Chart 1.JPG","m",75
"Chart 1.JPG","m",75
"Chart 1.JPG","m",367
"Chart 1.JPG","m",150
"Chart 1.JPG","G",233
"Chart 1.JPG","G",208
"Chart 1.JPG","G",158
"Chart 1.JPG","m",342
"Chart 1.JPG","n",242
"Chart 1.JPG","n",83
"Chart 1.JPG","n",200
"Chart 1.JPG","m",183
"Chart 1.JPG","n",217
"Chart 1.JPG","G",525
"Chart 1.JPG","m",83
"Chart 1.JPG","m",83
"Chart 1.JPG","m",92
"Chart 1.JPG","G",83
"Chart 1.JPG","m",125
"Chart 1.JPG","G",208
"Chart 1.JPG","G",117
"Chart 1.JPG","G",92
"Chart 1.JPG","m",175
"Chart 1.JPG","m",100
"Chart 1.JPG","m",108
"Chart 1.JPG","m",200
"Chart 1.JPG","m",233
"Chart 1.JPG","m",225
"Chart 1.JPG","m",83
"Chart 1.JPG","m",125
"Chart 1.JPG","G",75
"Chart 1.JPG","G",67
"Chart 1.JPG","m",267
"Chart 1.JPG","m",142
"Chart 1.JPG","E",233
"Chart 1.JPG","E",217
"Chart 1.JPG","G",142
"Chart 1.JPG","G",108
"Chart 1.JPG","G",192
"Chart 1.JPG","G",217
"Chart 1.JPG","n",75
"Chart 1.JPG","n",158
"Chart 1.JPG","n",183
"Chart 1.JPG","m",142
"Chart 1.JPG","m",142
"Chart 1.JPG","m",142
"Chart 1.JPG","m",125
"Chart 1.JPG","m",142
"Chart 1.JPG","G",267
"Chart 1.JPG","n",75
"Chart 1.JPG","m",192
"Chart 1.JPG","G",283
"Chart 1.JPG","G",167
"Chart 1.JPG","m",150
"Chart 1.JPG","m",75
"Chart 1.JPG","m",200
"Chart 1.JPG","n",117
"Chart 1.JPG","m",108
"Chart 1.JPG","E",200
"Chart 1.JPG","E",92
"Chart 1.JPG","m",183
"Chart 1.JPG","G",83
"Chart 1.JPG","E",150
"Chart 1.JPG","E",83
"Chart 1.JPG","n",250
"Chart 1.JPG","m",75
"Chart 1.JPG","m",142
"Chart 1.JPG","E",158
"Chart 1.JPG","E",158
"Chart 1.JPG","E",92
"Chart 1.JPG","G",142
"Chart 1.JPG","G",242
"Chart 1.JPG","G",142
"Chart 1.JPG","E",100
"Chart 1.JPG","E",308
"Chart 1.JPG","n",208
"Chart 1.JPG","n",100
"Chart 1.JPG","n",367
"Chart 1.JPG","o",258
"Chart 1.JPG","o",75
"Chart 1.JPG","o",92
"Chart 1.JPG","o",67
"Chart 1.JPG","o",317
"Chart 1.JPG","o",200
"Chart 1.JPG","o",150
"Chart 1.JPG","o",192
"Chart 1.JPG","o",258
"Chart 1.JPG","o",208
"Chart 1.JPG","o",200
"Chart 1.JPG","o",292
"Chart 1.JPG","o",125
"Chart 1.JPG","o",133
"Chart 1.JPG","o",242
